i,url,handle,name,subscribers,videos_count,views,created_date,location,product,discovery_keywords,family,channel_id,score_0_5,reason,other_topic,scored_by,bucket,evidence,description,top_video_titles,links
29,https://www.youtube.com/@%eb%a5%98%ec%a4%80%ed%98%b8tv,@%EB%A5%98%EC%A4%80%ED%98%B8TV,류준호의 동행야구,3590,953,2385376,2012-11-13,,,물레,filter:lang,UC3vdeyqnsKpHy2wRufbm8Mw,0,"Baseball commentary channel, 물레방아 used idiomatically, no pottery connection.",,sonnet,drop,desc,엘지트윈스 전경기 입중계 합니다.. 매일 오후9시 라이브 방송 진행합니다.... 엘지성골 원년팬 유튜버 류준호의 동행야구입니다.... 구독자 여러분 많이 시청 부탁드리면서.. 10개 구단 모두 즐길수있는 놀이터를 만들어 보겠습니다... 올시즌 동행야구 물레방아에 탑승하세요.... e -mail: ysblg7717 @gmail.com,,
30,https://www.youtube.com/@%ed%86%b5%ec%98%81%ec%84%ac%ec%83%89%ec%8b%9c%eb%8f%84%ec%9e%90%ea%b8%b0,@%ED%86%B5%EC%98%81%EC%84%AC%EC%83%89%EC%8B%9C%EB%8F%84%EC%9E%90%EA%B8%B0,통영섬색시 ♡ 도자기,1710,230,456982,2020-03-13,,,물레,filter:lang,UCZHq0K2Qnij9MArvknoT0SA,3,"Rural life vlogger learning pottery basics at a workshop, describes wheel but favors hand-formed irregular pieces.",,sonnet,gray,desc,"통영섬색시의 시골살이 좋아하는 일을 즐겁게... 도자기 초보수준으로 하나씩 배워 가는 단계입니다. ㅣ년동안 공방 다니면서 만든 그릇은 고작 쭈굴 쭈굴한 밥그릇,국그릇,접시 등 등 그런데도 그런 그릇들이 정이가서 더 많이 쓰이게 되더라구요. 물레를 배울까 하다가 정형보다는 비정형이 좋고, 울룩불룩 자연스런게 더 멋져 보였음. 공방에서는 시간에 쫓겨 대충 만들었지만, 흙 사다가 집에서 시간날때 조금씩 만들고 싶은거 만드니 힐링도 되고, 잡념도 없어지고, 생활의 활력소 되고, 아주아주 하루가 즐겁답니다. 낼은 뭘 만들까? 생각나는대로 메모하기도 한답니다. 집에서 흙을 만지게 된 동기는? 21년12월 어느날 우연히 동영상 강의에 참석했는데. 강의샘 갑자기 하는 질문??? .. 동영상을 왜 배우려 왔습니까, 응겹결에 (당황) 그릇만드는거 좋아하는데 유투버 함 해볼려구요! 라고 대답해 버렸답니다. 그 약속을 스스로 지키기 위해 지금도 열심히 만들고 있답니다ㅎ 많이 많이 서툴지만 많이 많이~~~♡ 응원해주세요. ♡♡통영섬색시 ♡♡ 문의사항은 Theqr@naver.com 로 메일주세요 NQKPHB@AICOMPANY",,
31,https://www.youtube.com/@claymagics,@claymagics,CLAY MAGICS Pottery Studio,5260,105,50579,2019-10-17,,,wheel throwing,filter:technique,UC3NHy5XtKaocZECssMsa4UA,3,Pottery studio business description lists wheel throwing and glazing classes but no confirmed on-camera footage.,,sonnet,gray,desc,"A delightful pottery studio located in Pattom, Trivandrum, offers classes in wheel throwing and glazing.Contact Chithra +919747556609 for details",,
32,https://www.youtube.com/@historywaterwheel,@HistoryWaterwheel,역사물레방아,6400,210,6643018,2024-09-18,,,물레,filter:lang,UCa4izIFLXNZb7dkw_bsMYag,0,"History storytelling channel, 물레방아 used as metaphor in name, no pottery content.",,sonnet,drop,desc,"📜 역사물레방아 - 과거에서 배우는 인생 이야기 RYSTT1@AICOMPANY 조선, 고려, 신라부터 세계적인 여성 인물까지, 역사의 흐름 속에서 강렬한 이야기를 전합니다. 왕후, 후궁, 기생, 여걸들의 숨겨진 이야기부터, 사랑과 권력, 희생과 운명이 엮인 드라마 같은 역사! 🏯 🔥 알고 보면 더 흥미로운 역사! 📖 쉽게 듣는 인물 이야기! 💡 역사 속에서 배우는 교훈! 구독하고 역사의 물레방아를 함께 돌려요! 🌀 #역사물레방아 #한국사 #세계사 #왕후이야기 #역사인물 #조선왕조 #역사속여성 #운명의여인",,
33,https://www.youtube.com/@baileypotteryequipment9181,@baileypotteryequipment9181,Bailey Pottery Equipment,2660,202,457857,2022-03-08,,,pottery wheel,filter:tool,UCoeEF59h7WI175jh-lMlzSw,2,"Pottery equipment manufacturer/retailer channel, product listings not on-camera throwing process.",,sonnet,drop,desc,"#MadeWithABailey | Pottery Equipment & Ceramics Supplies | Easy Online Ordering | Friendly Customer Service | Expert Tech Support A leader in innovative product development in the ceramic arts field for 35 years, Jim Bailey is committed to bringing the highest quality equipment to the consumer. We design and manufacture the most innovative pottery wheels, slab rollers, clay extruders, electric kilns, gas kilns, pugmills, and clay mixers in the world. At Bailey Pottery Equipment & Ceramic Supply, we have built our reputation not only on our exceptional products but equally on our outstanding cu",,baileypottery.com | tiktok.com/@baileypottery | instagram.com/baileypottery | facebook.com/baileypottery | pinterest.com/baileypottery/_created | baileypottery.com/blog.html
34,https://www.youtube.com/@howtopottery,@HowToPottery,How-To Pottery & Crafts,2310,123,265162,2024-07-31,,,wheel throwing,filter:technique,UCfjKB7CK1Uy2lF0t_b3MeYQ,3,"Craft channel mixing mold making, slip casting, hand-building with wheel throwing as minor component.",slip casting,sonnet,gray,desc,"Mold Making, Slip Casting, Plaster Mold Imagination, with a little Wheel Throwing, Hand-building, and more! Unleash your creativity with air-dry clay, fun seasonal crafts to make unique gifts, home decor, and functional pieces for FUN or to SELL! ✨ Consider joining as a Member for lots of extra perks and members only videos! From beginners to advanced makers, we have something for everyone. Let’s get creative together! Like, follow, and subscribe for endless craft ideas! ✨DON'T FORGET, I'm here to INSPIRE your creativity. Do NOT directly copy the few items I show that have a copyright. (I will",,eurekaartcrafts.etsy.com
35,https://www.youtube.com/@youspeech7007,@youspeech7007,신유아의유스피치ㅣ스피치.보이스.낭독.북토크,3590,1544,473015,2018-09-04,,,물레,filter:lang,UCt5QA4yfugNQ7YaXaXFwsUQ,0,"Speech coaching channel, 물레 only appears in book publisher name '시간의 물레', unrelated to pottery.",,sonnet,drop,desc,"스펙을 뛰어넘는 마음을 움직이는 진실된 말하기의 힘. 깊이 있는 생각을 설득력 있는 말로 바꾸는 스피치 채널입니다. SBS 공채 개그맨 출신으로 아나운서, 리포터, MC, 쇼핑호스트, 기상캐스터 활동을 거쳐 현재는 유스피치 대표로서 어린이부터 성인까지 면접 스피치, 발표 스피치, 설득 스피치 훈련을 지도하고 있습니다. 평범한 기술 중심 스피치는 지양합니다. 때로는 개그맨처럼 유연하게, 때로는 아나운서처럼 명확하게, 그러나 결국은 깊이 있게 통하는 말하기를 연구합니다. ✔ 면접에서 설득되는 구조 만들기 ✔ 직장인을 위한 발표 스피치 ✔ 국공립 어린이집 원장 면접 대비 ✔ 글을 정리하고 말로 설계하는 방법 ✔ 어린이 표현력·자신감 훈련 글과 말은 하나입니다. 생각이 정리되어야 말이 설득력을 갖습니다. 저서 『스펙보다 스피치다』(2017, 시간의 물레) 『유튜브 스피치』(2020, 아라크네) 『오늘부터 나는 말 잘하는 어린이』(2023, 창비어린이) 『말하기가 두려운 날엔』(2025, 소담출판사) 『낮잠 같은 인생』(2024, 흔들의자) 수상 2025 K-ESG 경영혁신대상 2024 K-ESG 경영혁신대상 2024 한양문학 신인문학상 2024 K-소비자브랜드대상 ",,blog.naver.com/youspeech | uspeech.co.kr | instagram.com/youspeech | blog.naver.com/book_youah | aladin.co.kr/shop/wproduct.aspx?ItemId=235509639&srsltid=AfmBOoo_Ut5GAKGYfkr7I0CNQVvvd-oU3zaZT_gw3M2uaK
36,https://www.youtube.com/@gony4885,@gony4885,고니 예전계정,867,104,16517,2006-03-29,,,물레,filter:lang,UCcL5gvu9ug3pBa5UzCOPiUA,0,"Korean overseas futures trading channel, 물레 keyword collision from hashtags, no pottery content.",,sonnet,drop,desc,#해외선물 #해외선물실시간 #해외선물가족방 #해외선물단톡방 #해외선물리딩 #해선 #해선학교 #주식 #코인 #비트코인 #해외선물하는방법 #해외선물하는법 #해외선물공부 #해외선물초보 #해외선물레전드 #해외선물수익 #해외선물교육,,open.kakao.com/o/su7WxAif
37,https://www.youtube.com/@potteryparadise-d4w,@PotteryParadise-d4w,Pottery Paradise 🌟,11,61,5225,2025-11-28,,,wheel throwing,filter:technique,UCafl0aLozylETuOQhc993gA,4,"Pottery-focused channel with wheel throwing, clay art keywords, aesthetic short-form pottery videos confirmed by titles.",,sonnet,keep,desc+titles,"🌿 Short & Unique Description (YouTube Bio) “Pottery Paradise — jahan mitti zinda hoti hai! Wheel, clay aur handmade art ki khoobsurti ko simple, soothing aur aesthetic videos mein explore karein.” (Soft + pro + aesthetic) --- 🔑 Keywords (SEO Friendly) pottery paradise pottery making clay art wheel throwing handmade pottery pottery vlog clay crafting diy pottery pottery beginner tips aesthetic pottery videos --- 🏷️ Hashtags #PotteryParadise #ClayArt #PotteryLover #WheelThrowing #HandmadePottery #ClayCraft #AestheticPottery #DIYPottery #ArtStudio #CraftCommunity ---",#PotteryParadise#ClayLove#HandmadeArt#CeramicVibes#ArtFromClay | #PotteryParadise#ClayLove#HandmadeArt#CeramicVibes#ArtFromClay | #PotteryParadise#ClayLove#HandmadeArt#CeramicVibes#ArtFromClay | #PotteryParadise#ClayLove#HandmadeArt#CeramicVibes#ArtFromClay | #PotteryParadise#ClayLove#HandmadeArt#CeramicVibes#ArtFromClay | #PotteryParadise#ClayLove#HandmadeArt#CeramicVibes#ArtFromClay | #PotteryParadise#ClayLove#HandmadeArt#CeramicVibes#ArtFromClay | #PotteryParadise#ClayLove#HandmadeArt#Ceramic,
38,https://www.youtube.com/@%ec%9d%b4%eb%8f%84%ea%b4%91%ea%bc%b4%ed%86%b5%ec%8a%a4%eb%8b%98,@%EC%9D%B4%EB%8F%84%EA%B4%91%EA%BC%B4%ED%86%B5%EC%8A%A4%EB%8B%98,이도광꼴통스님,1430,182,181992,2018-06-07,,,물레,filter:lang,UCeil4MHl-X1mnJrFoJPxd8A,3,"Buddhist monk teaching wheel-forming pottery at traditional market, name suggests real throwing demonstrations.",,sonnet,gray,desc,장호원전통시장 도자기무료체험 물레성형도예가 꼴통도광스님,,
39,https://www.youtube.com/@leedongkoo63,@leedongkoo63,Lee Dongkoo pottery workshop,43900,1718,47761770,2010-12-29,,,물레,filter:lang,UCzP98JaRcVeSKJ-SIHVQl1w,4,"Korean potter's workshop channel teaching electric wheel and hand-building of Buncheong/Onggi ware, classes described.",,sonnet,keep,desc,"Hello! I am a potter who teaches pottery while making pottery in Paju, Korea. My main work is pot work, which reinterprets Buncheong and Onggi work in a modern sense. In addition, we make everyday porcelain (mugs, rice, soup bowls, bowls, plates, teapots), etc., and we also teach classes in the workshop. Guide to classes at the moving tool art studio Class days and times: Tuesday, Wednesday, Friday, Saturday, 13:00-16:00 Class content: electric wheel, hand work #도예 #이동구도예공방 #물레 #머그 #pottery #ceramic #clay #mug #teaware #Koreanpottery #Wheelthrowing #teach #howto",,
40,https://www.youtube.com/@madewithmud,@MadeWithMud,Made With Mud,1700,213,603531,2019-09-12,,,pottery wheel,filter:tool,UCZ4H-OVhuV8mEcpKp2rYddA,4,"Pottery content creator sharing wheel-throwing and hand-building techniques, mini pottery wheel keepsakes on camera.",,sonnet,keep,desc,"Nicola of Made With Mud™️ Based in rural Lincolnshire UK, Nicola enjoys sharing her creative journey, turning her passion for pottery into content that inspires and connects with viewers around the world. Her favourite intent is travelling & making mini pottery keepsakes on her mini pottery wheel. Join Made With Mud™️ to see how humble clay becomes a pottery creation one spin of the wheel at a time! From wheel-throwing techniques and hand-building tips to glazing tutorials and behind-the-scenes insights, Nicola’s content is both inspiring and educational with just a touch of humour. She also s",,youtube.com/c/MadeWithMud | madewithmud.co.uk/links-2 | instagram.com/made.with.mud | facebook.com/madewithmud | vm.tiktok.com/ZMeFUuRed
41,https://www.youtube.com/channel/ucgtlkrdt-pdthfrwlmlil-g,@ShelbySherritt,Shelby Sherritt,410000,518,127804724,2020-11-02,,,wheel throwing,filter:technique,UCGTlkRdT-pDthfRwlMLil-g,3,"Ceramicist using hand building and wheel throwing techniques, but description emphasizes finished-piece showcase.",,sonnet,gray,desc,"Shelby Sherritt Art is an Australian ceramicist who takes inspiration from the bushland surrounds which she calls home. Located in regional Victoria, Shelby's ceramics are inspired by flowering gum trees, golden wattle and frolicking wildlife. Shelby creates unique, functional and whimsical pieces for the home and to wear. Shelby uses a variety of traditional hand building and wheel throwing techniques to create the one of a kind pieces of work. Shelby has always been a creative at heart and only began exploring ceramics after she was diagnosed with cancer in 2016. The therapeutic movement of ",,shelbysherritt.com.au/links | facebook.com/shelbysherrittart | instagram.com/shelby.sherritt | tiktok.com/@shelbysherritt
42,https://www.youtube.com/@teddycraft101,@TeddyCraft101,Teddy Craft 101,531,122,539311,2024-12-22,,,wheel throwing,filter:technique,UCUm9z3k2FCgu0t01rdhUqFQ,4,Live pottery sessions with satisfying wheel throwing and clay transformation content described directly.,,sonnet,keep,desc,"Welcome to Teddy Craft 101 Discover the relaxing world of pottery and handmade clay art. On this channel, you’ll enjoy live pottery making, satisfying wheel throwing, and creative ceramic designs crafted from start to finish. Whether you love art, want to learn pottery, or just relax watching clay transform into beautiful pieces, Teddy Craft 101 is your perfect place. Live pottery sessions Creative clay art & handmade designs Relaxing and satisfying process videos Subscribe and join the journey of turning simple clay into something amazing.",,
43,https://www.youtube.com/channel/uciyqgjcfkyys-xhuonhtcgw,@juliejulee,JULIEJULEE,35,52,34935,2020-12-15,,,pottery wheel,filter:tool,UCIyqGJcFKyyS-xHUONHTcGw,5,"Beginner practice log with titles showing centering, throwing cylinders, trimming, pulling handles on wheel.",,sonnet,keep,desc+titles,A Beginner's Pottery Wheelthrowing Practice Log,"Just a 10 minute! 10 minutes, 7 seconds | Throwing a cylinder mug. 6 minutes, 10 seconds | Throwing a narrow neck vase. 14 minutes, 49 seconds | Trying a small moon jar. 12 minutes, 39 seconds | Never ending centering. 4 minutes, 44 seconds | trimming a small pot 9 minutes, 33 seconds | Making handles 4 minutes, 31 seconds | Trying a different shap 9 minutes, 51 seconds | Glazing moment 2 minutes, 26 seconds | Bubble Pop! 21 minutes | Trimming practice: working on foot and signing on my work! 15",
44,https://www.youtube.com/@laoliunenergvehicle,@LaoLiunenergvehicle,老刘新能源车品升级,107000,425,87263,2020-07-08,,,물레,filter:lang,UClA2vd5pMQEqyM1QZz_703w,0,"Korean forex trading channel, 물레 keyword collision from 해외선물레전드 hashtag, no pottery content.",,sonnet,drop,desc,"🔷업체 상담 문의🔷 부담 없이 간단한 질문도 언제든지 가능합니다. 24시간 상담 가능 정우의 매매를 이용하면 좋은 장점! 1, 24시간 상담 가능! 2, 역대 최고 이벤트 수수료 손실금 지원 이벤트 등 다양한 이벤트 항목! 3, 사고 없는 전문 업체 입, 출금 사고 발생 시 정우가 책임 지겠습니다 ( 6년째 단 하나의 문제없이 운영 중인 회사이며 소비자 만족도 1위!! ) #해외선물 #해외선물실시간 #해외선물가족방 #해외선물단톡방 #해외선물리딩 #박호두 #주식 #코인 #비트코인 #해외선물하는방법 #해외선물하는법 #해외선물공부 #해외선물초보 #해외선물레전드 #해외선물수익",,
45,https://www.youtube.com/@kekoclub_potterystudio,@KeKoClub_potterystudio,KeKo Club pottery Studio,38,73,37451,2026-02-20,,,wheel throwing | pottery wheel,filter:technique,UCyaJtPAji4ThtMn6nHuCggg,5,"Working pottery studio channel showing full process from wheel to kiln, real behind-the-scenes ceramics.",,sonnet,keep,desc,"Welcome to KeKo Club Pottery Studio — where clay meets creativity, calm, and community. On this channel, you’ll step inside a working pottery studio and experience the real process behind making ceramics — from the wheel to the kiln. Whether you’re a complete beginner or already on your creative journey, you’ll find inspiration, guidance, and a behind-the-scenes look at what it truly means to create with your hands. ✨ What you’ll see here: Pottery wheel throwing & hand-building Glazing experiments, kiln openings & transformations Studio life, real-time making & timelapses Creative workshops & ",,lnk.bio/kekoclub_artstudio | kekoclub.co.uk
46,https://www.youtube.com/@maymorestudio,@MAYMOREstudio,MAYMORE ,1110,72,252502,2014-03-12,,,물레,filter:lang,UCo6n7Io2Mg1SOTYdTn0DJWw,4,"Korean ceramic artist studio named for wheel-forming (물레성형), name-based evidence suggests wheel throwing focus.",,sonnet,keep,desc,메이모어 도예가 삼정도예 물레성형,,
47,https://www.youtube.com/@sinaipottery,@sinaipottery,Sinai Pottery,377,146,76325,2019-11-03,,,pottery wheel,filter:tool,UCq_QikIlFOCJeVg_ZVHdBRA,4,"Home potter channel making dishes on pottery wheel and hand building, describes love of wheel work directly.",,sonnet,keep,desc,"Hello, my name is Maya Sadeh and I am a potter from Cyprus. I do my pottery at home. I teach Pottery, I make Pottery for fun and for sale. I love making all kinds of stuff from clay. I love working on the Pottery wheel, and to hand billed from clay. I make my own dishes, such as plates, mugs, vases, planters, soup bowls. I hope you enjoy my videos.",,
48,https://www.youtube.com/@houseofbloomstudios,@HouseOfBloomStudios,House Of Bloom Studios,40,52,23250,2022-10-17,,,wheel throwing,filter:technique,UCnI3cPg-8ioJ-c1MNRSJ3Qw,2,"Multi-craft family studio mixing florals, beeswax, baking with pottery wheel as one minor activity among many.",,sonnet,drop,desc,"We create out of everything. Step inside House of Bloom Florals and Pottery — a working floral and pottery studio where creativity fills every corner. Clay, flowers, beeswax, paint, fabric, vintage finds, holiday baking, family traditions, and muddy little hands at the wheel all belong here. This is a place where: beeswax from our hives becomes candles, flowers become wedding art, thrifted pieces become brand new treasures, grandchildren become artists, and ordinary moments become traditions. We share pottery tutorials (wheel throwing & handbuilding), kiln openings, and behind-the-scenes looks",,
49,https://www.youtube.com/@get-clay,@Get-Clay,Get Clay,1440,396,917629,2018-10-06,,,물레 | 轆轤,filter:lang,UColw-8Lgk8_TCXgVzJvzSvg,3,"Pottery hacks/tricks channel with multilingual ceramics tags including electric wheel, but low specific evidence.",,sonnet,gray,desc,"Hi, welcome to my channel. I will be sharing with you pottery hacks and tricks and idea videos. #pottery#ceramics#maker#artisan#asmr#relax＃new#clay＃amazing#clay#art#creative#ideas#fun#도자기 물레#陶芸#電動轆轤#도예#Keramikk#ceramika#เซรามิกส์#keramik#चीनी मिट्टी की चीज़ें#cerámica#кераміка#keramika#세라믹#céramique#سيراميك#seramik#gốm sứ#keramik#criadóireacht#keramik#ceramică#seramika#keramiek#ceramica#cerâmica#try#Bester#nice#good#top#keraamika＃hope#tembikar#도기류#interesting#garncarstwo#keramiikka#الفخار#เครื่องปั้นดินเผา#मिट्टी के बर्तनों#工芸 o10",,
50,https://www.youtube.com/@%ed%83%80%ec%8b%a0-g5u,@%ED%83%80%EC%8B%A0-g5u,해외선물 타신,8500,517,1034365,2024-12-27,,,물레,filter:lang,UCvGt1UyjIPfH1M-G9B9BFZw,0,"Korean overseas futures trading channel, 물레 keyword collision from hashtags, no pottery content.",,sonnet,drop,desc,"⭐️해외선물 타신TV⭐️ 2014년 해외선물 시작 2018년 수익 1억 돌파⭐️첫해수익 2020년 수익 2억 돌파⭐️2년차 2021년 ~ 2022년 해외선물 리딩방⭐️ 회원만족도100% , 한국 Top3 리딩방 2021년 ~ 2022년 해외선물 대형 네이버카페 보유 , 리딩부분 1등! 2022년 ~ 2024년 해외선물 유튜브 진행 #해외선물 #선물거래 #선물옵션 #해외선물매매 #트레이딩 #선물투자 #파생상품 #해외선물기초 #주식투자 #트레이딩전략 #금융투자 #투자기초 #해외선물분석 #트레이딩기법 #투자정보 #선물시장 #금융교육 #차트분석 #투자노하우 #트레이딩기초 #해외선물실시간 #해외선물가족방 #해외선물단톡방 #해외선물리딩 #해외선물엄석대 #해외선물타신TV #해선학교 #주식 #코인 #비트코인 #해외선물하는방법 #해외선물하는법 #해외선물공부 #해외선물초보 #해외선물레전드 #해외선물수익 #박호두 #선물 #옵션",,
51,https://www.youtube.com/@angceramics,@angceramics,ang #ceramics,270,214,111678,2008-02-22,,,wheel throwing,filter:technique,UC2GAA2bLWiVKA7cdirPfSSA,4,"Ceramics teacher channel covering Raku, wheel throwing, and studio practices with clear craft focus.",,sonnet,keep,desc,"Maker & designer of table and dining wares plus decorative wall art pieces. Teacher of Raku method, wheel throwing and studio practices. MY SOCIAL MEDIA: instagram: business - @angelawalfordceramics (https://www.instagram.com/angelawalfordceramics) facebook: business - @angelawalfordceramics (https://www.facebook.com/AngelaWalfordCeramics) MY WEBSITE: https://www.angceramics.com.au #angceramic #adelaidearts #clayday #studiolife #wheelthrown #hourinstudio #studio #clay #mugshot #cup #smallbatch #reellife #ceramics #potter #mindfulness #slowdown #soda #clayday #kilnbuilding #happydays #kiln #cer",,instagram.com/angelawalfordceramics | angceramics.com.au | facebook.com/AngCeramics | angdesign.blogspot.com
52,https://www.youtube.com/@morigama,@morigama,森窯 morigama鹿児島市,1470,63,747758,2007-10-14,,,轆轤,filter:lang,UCMcHUFwF2b6Lc5i0uWZQ8uA,5,Japanese kiln/workshop channel explicitly filming wheel throwing (轆轤) production scenes and pottery making process.,,sonnet,keep,desc,鹿児島市・森窯の動画チャンネルです。 ・陶器の作り方 ・轆轤での製作風景 ・窯元での様子や山里風景 ・展示会風景などupします。森窯工房＜鹿児島市宮之浦町2829でんわ070-8937-0537＞休日不定期なため、お越しの際は事前にお電話で確認下さい。,,toukaze.web.fc2.com | toukaze.blog88.fc2.com | toukaze.web.fc2.com/tizu.htm
53,https://www.youtube.com/@%eb%a7%88%eb%a3%a8%ec%95%88%eb%8f%84%ec%9e%90%ea%b8%b0%ea%b3%b5%eb%b0%a9,@%EB%A7%88%EB%A3%A8%EC%95%88%EB%8F%84%EC%9E%90%EA%B8%B0%EA%B3%B5%EB%B0%A9,마루안도자기공방,2380,106,285658,2012-11-10,,,물레,filter:lang,UCg3YOd0wQWorYHTlKmI3hhg,4,"Korean pottery workshop channel making wheel videos and basic ceramic craft courses, name confirms focus.",,sonnet,keep,desc,마루안도자기공방입니다. 재미있는 도자 물레 영상과 기초 도자공예 과정을 알기쉽게 만들었습니다. 유익한 정보되시길 바래요 ~^^ 오늘도 힘차게 아자!!!,,
54,https://www.youtube.com/@%ec%95%88%eb%8f%84%ec%98%88,@%EC%95%88%EB%8F%84%EC%98%88,안도예,51,67,88062,2025-10-05,,,물레,filter:lang,UCp3CltY3aUM-vXRn5U2R-Iw,5,"Titles clearly show wheel forming shorts - bowl shaping, goblet, cup forming on potter's wheel.",,sonnet,keep,desc+titles,그냥 물레차는 사람,보울 정형 연습! #pottery #ceramic #도예 #clay #shorts #쇼츠 | 니들이 고블렛을 알아? 물레 알아요? #pottery #ceramic #도예 #shorts #쇼츠 | 툭툭툭 #pottery #ceramic #clay #도예 #shorts #쇼츠 | 뚱뚱이컵 #pottery #ceramic #clay #도예 #shorts #쇼츠 | 여까아쥥 #ceramic #pottery #clay #도예 #shorts #쇼츠 | 아이스 잔 성형 #ceramic #pottery #clay #도예 #shorts #쇼츠 | 도자기에 색과 질감을 입히는 과정 #ceramic #pottery #clay #도예 #shorts #쇼츠 | 대왕 컵 #ceramic #pottery #도예 #clay #shorts #쇼츠 | 쓰레기는 쓰레기통에 #ceramic #pottery #clay #도예 #shorts #쇼츠 | 실패 영상 #ceramic #pottery #clay #도예 #shor,
55,https://www.youtube.com/@genja.animation,@genja.animation,genja's animation,2260,774,1246077,2024-05-10,,,pottery wheel,filter:tool,UC3jc7EQxmXZybn6rN0ybjgQ,2,"Animation channel inspired by pottery wheel visual patterns, artistic novelty rather than real throwing tutorial.",,sonnet,drop,desc,"Hi all! One day, on YouTube, I completely unexpectedly saw an amazing animation using a pottery wheel from a Japanese artist and musician, his name is Yohei Kisanuki. I was literally so fascinated by the moving patterns using a pottery wheel that I really wanted to try it too. After much thought and analysis of the tools for the job, I have acquired everything I need and am starting my journey as an aspiring follower of Yohei Kisanuki (@LimbaTrip). I will be very happy if someone likes my animation work. If you are also interested in hearing something from my musical work, the link separately ",,youtube.com/@LimbaTrip | youtube.com/@genja.rhodes
56,https://www.youtube.com/@jstarceramics,@jstarceramics,jstarceramics,1490,109,245781,2023-02-06,,,wheel throwing,filter:technique,UCUzE9sYzuuLg0BPurenEs7w,5,"Pottery channel explicitly covering wheel throwing, trimming, and glazing from beginner to advanced levels.",,sonnet,keep,desc,"Welcome to jstarceramics where you'll find informative pottery videos from beginner to advanced, wheel throwing, trimming, glazing etc. You can find my products at : https://jstarceramics.etsy.com",,jstarceramics.etsy.com
57,https://www.youtube.com/@lauriecaffery,@LaurieCaffery,Laurie Caffery,1260,337,737201,2015-04-07,,,wheel throwing,filter:technique,UChNazfZdCsrt5XLPb_lbQsQ,4,"Ceramic studio channel showing behind-the-scenes wheel throwing, slipcasting, hand-carving, and underglaze painting.",,sonnet,keep,desc,"🌟 Welcome to the official YouTube channel for Laurie Caffery Ceramics! 🌟 At LaurieCaffery.com, you'll find one-of-a-kind, handcrafted pottery that blends storytelling, nostalgia, and function. These videos take you behind the scenes in the ceramic studio — from wheel throwing and slipcasting to hand-carving intricate designs and painting custom underglaze illustrations. 🎨✨ 🎥 Watch how each handmade mug, illustrated vase, and functional ceramic piece is created with love, detail, and a dash of whimsy. Whether you're a fellow potter, art collector, or curious creative, you'll enjoy process video",,lauriecaffery.com | instagram.com/lauriecaffery.clay | twitter.com/home | facebook.com/lauriecaffery | linktr.ee/lauriecaffery.clay
58,https://www.youtube.com/@claymuse99,@ClayMuse99,Clay Muse,129,67,164409,2025-05-16,,,pottery wheel,filter:tool,UCnID9FLhFfYyabAKr7ZiF_g,4,"Ceramic artist channel covering wheel throwing, hand-building, glazing but shorts titles show varied clay/craft content.",,sonnet,keep,desc+titles,"Welcome to Clay Muse . The studio-space where lumps of earth become works of heart. I’m [ Sudip paul ], a ceramic artist who believes every swirl of clay tells a story. On this channel you’ll find: Step-by-step pottery wheel tutorials – perfect for beginners & hobbyists Hand-building & sculpting projects – from pinch pots to character figurines Glazing & firing tips – demystifying cones, kilns, and color chemistry Studio vlogs & behind-the-scenes – the mess, the magic, and the occasional mishap Artist spotlights & collabs – celebrating clay creators from around the globe Whether you’re chasing",Perfect Clay Pot Lid Making 🏺✨ #shorts #explore #subscribe #traditional #clay #ytshorts | You’ve Never Seen a Jug Like This 🤯 #shorts #explore #fyp #subscribe #clay #ecofriendly #natural | This Color Is 100% Natural?! 😳 #shorts #clay #explore #subscribe #natural #ecofriendly | This Dhakan Design Is Too Satisfying 🔥 #shorts #clay #clayart #design #explore #subscribe #fyp | Wait for the Final Design 😍 #shorts #clayart #pottery #explore #fyp #subscribe #foryou | Watch This Lid Turn Mirror Smooth 🤯,
59,https://www.youtube.com/@theclaycottagestudio,@TheClayCottageStudio,The Clay Cottage Studio,19200,253,20979491,2024-02-08,,,wheel throwing,filter:technique,UCx8pKsyQJlFx8HmFgmIHKvQ,0,Studio explicitly states 'no wheel throwing' offering only painting and hand-building.,hand-building,sonnet,drop,desc,"Located in Pembroke Pines, Florida, we’re where casual crafters of all ages come to dabble, create, and have fun! Whether you’re painting pottery, hand-building with clay, or fusing glass, there’s something for you. 🖌️ What We Offer: • Walk-in pottery painting • Clay hand-building (no wheel throwing!) • Glass fusing projects • Kids programs + homeschool days • Private parties & mobile art events • Seasonal classes for adults and children ✨ Watch satisfying kiln reveals, behind-the-scenes studio moments, creative project ideas, and tips to spark your inner artist. 📍 Visit us at 8345 Pines Blvd,",,theclaycottagestudio.com | instagram.com/the_claycottage_studio
